,mean,sd,2.50%,97.50%,Rhat
Nsite.small[83],2.584814815,1.128536379,1,5,1.000180276
Nsite.small[84],3.161333333,1.300127093,1,6,1.00077965
Nsite.small[85],2.763074074,1.190032695,1,5,1.000290071
Nsite.small[86],2.191444444,1.312915154,0,5,1.000281718
Nsite.small[87],2.089074074,0.9979566674,1,4,1.000401421
Nsite.small[88],3.123814815,1.003403355,2,5,1.000384841
Nsite.small[89],1.643185185,1.186839168,0,4,1.000364676
Nsite.small[90],1.498444444,1.135018729,0,4,1.000474971
Nsite.small[91],3.069851852,0.9887372607,2,5,1.000616892
Nsite.small[92],2.926777778,1.230533667,1,6,1.000985504
Nsite.small[93],1.649111111,1.167857211,0,4,1.000657322
Nsite.small[94],1.869111111,1.227477772,0,4,1.000296574
Nsite.small[95],2.86262963,1.221034537,1,5,1.000437173
Nsite.small[96],2.959,1.241849803,1,6,1.000405893
Nsite.small[97],2.331296296,1.08618828,1,5,1.000322917
Nsite.small[98],3.420592593,1.118315551,2,6,1.000189807
Nsite.small[99],2.200666667,1.045800804,1,5,1.000891824
Nsite.small[100],3.261185185,1.066723262,2,6,1.000162767
Nsite.small[101],3.750333333,1.161565773,2,6,1.000259561
Nsite.small[102],2.724444444,1.18479988,1,5,1.000438421
Nsite.small[103],3.419555556,1.092270278,2,6,1.000714631
Nsite.small[104],4.86962963,0.8966171035,4,7,1.00073031
Nsite.small[105],3.023074074,0.9495715708,2,5,1.001303338
Nsite.small[106],2.655962963,1.153040577,1,5,1.001059351
Nsite.small[107],1.696481481,1.184546622,0,4,1.000833881
Nsite.small[108],5.160037037,1.364840823,3,8,1.000301744
Nsite.small[109],3.735962963,1.486493383,1,7,1.000840738
Nsite.small[110],5.471962963,1.414721245,3,8,1.000647078
Nsite.small[111],3.701481481,1.441963939,1,7,1.000682536
Nsite.small[112],3.298851852,1.42170458,1,6,1.000804254
Nsite.small[113],3.767481481,1.487060985,1,7,1.000600591
Nsite.small[114],2.564888889,1.454755051,0,6,1.001278686
Nsite.small[115],2.942740741,1.541089708,0,6,1.000603877
Nsite.small[116],4.096925926,1.545432137,1,7,1.000263294
Nsite.small[117],3.441148148,1.441816797,1,7,1.001107091
Nsite.small[118],3.329037037,1.396460938,1,6,1.000631936
Nsite.small[119],5.818888889,1.176683211,4,8,1.000889372
Nsite.small[120],3.181481481,1.365753164,1,6,1.001222946
Nsite.small[121],5.350111111,1.360518021,3,8,1.00099775
Nsite.small[122],3.464333333,1.403720235,1,6,1.000661705
Nsite.small[123],2.691814815,1.469148777,0,6,1.001132324
Nsite.small[124],5.393444444,1.350380786,3,8,1.000948114
Nsite.small[125],4.675777778,1.228266881,3,7,1.000790693
Nsite.small[126],2.888333333,1.294489757,1,6,1.001662505
Nsite.small[127],3.617296296,1.4167847,1,7,1.000758653
Nsite.small[128],2.992333333,1.525168347,0,6,1.000908619
Nsite.small[129],3.775925926,1.455824461,1,7,1.000671637
Nsite.small[130],5.097962963,1.317146507,3,8,1.000992855
Nsite.small[131],4.219703704,1.358356343,2,7,1.001375213
Nsite.small[132],3.734851852,1.473079093,1,7,1.001315804
Nsite.small[133],3.51237037,1.411170511,1,7,1.000655579
Nsite.small[134],3.257407407,1.565998331,1,7,1.000772778
Nsite.small[135],3.357814815,1.380794963,1,6,1.000895645
Nsite.small[136],4.328592593,1.339686548,2,7,1.000611534
Nsite.small[137],2.565703704,1.46479157,0,6,1.000595267
Nsite.small[138],3.206037037,1.591986302,0,7,1.000407336
Nsite.small[139],3.460481481,1.439751864,1,7,1.000746243
Nsite.small[140],4.524851852,1.44282909,2,8,1.001476677
Nsite.small[141],5.861666667,1.25618327,4,9,1.000588696
Nsite.small[142],3.994518519,1.332096137,2,7,1.000790813
Nsite.small[143],3.427407407,1.438592265,1,7,1.000266151
Nsite.small[144],3.376777778,1.431291676,1,6,1.001300245
Nsite.small[145],3.40637037,1.429469569,1,7,1.000642032
Nsite.small[146],3.543037037,1.461076794,1,7,1.000609756
Nsite.small[147],2.685222222,1.495746326,0,6,1.000626815
Nsite.small[148],3.370407407,1.618929418,1,7,1.000826283
Nsite.small[149],5.135555556,1.329099294,3,8,1.000761563
Nsite.small[150],2.666148148,1.462808046,0,6,1.000956274
Nsite.small[151],3.062185185,1.550734543,0,6,1.000342626
Nsite.small[152],3.077333333,1.528311386,0,6,1.000955189
Nsite.small[153],4.684037037,1.439053069,2,8,1.000735789
Nsite.small[154],5.018888889,1.297034352,3,8,1.000758934
Nsite.small[155],2.781555556,1.475224916,0,6,1.000973505
Nsite.small[156],4.03637037,1.316139367,2,7,1.000648266
Nsite.small[157],3.792518519,1.478511197,1,7,1.001364965
Nsite.small[158],4.585888889,1.429437431,2,8,1.001031625
