FID;Index;ID;Sampling_s;Dist_city;Dist_road;Dist_water;Dist_wat_1;Dist_wat_2;Dist_humse;HDens_2km;HDens_500m;NDVImean_5;NDVImean_6;NDVImean_2;cattle_num;cattle_fre;effort_day;xcoord;ycoord;PA;survey_are;pa_type;year;Biome;CTmodel;CTnumber;CTcode;CTcode2;trail;trail_type;trail_ty_1;team;team2;team3;veg_field;cattle_fie;Prob_fogo
184;185;193;OCGB20;1,692755;0,112523;-0,677338;-1,00459;-0,686656;-0,928811;2,244932;0,402995;0,119615;-0,080681;-0,04094;-0,276328;-0,270365;-0,024949;-44,882957;-14,60245;GB;GB;0;2017;Cer;agressor;B150801781;D;D;1;carreiro;carreiro;other;MJ;MJ MSP;CER SS;Y;0,357796997
185;186;194;OCGB21;1,4741;-0,267556;-0,529986;-0,813446;-0,587034;-0,860925;5,466963;1,065065;-0,752675;-0,836427;-0,644753;0,612058;0,587153;-0,024949;-44,851887;-14,603108;GB;GB;0;2017;Cer;agressor;B150801895;D;D;1;trail;trail;other;MJ;MJ MSP;CER SS;Y;0,524805009
186;187;195;OCGB22;1,543705;-0,077667;-0,760453;-0,839824;-0,742849;-1,009489;5,809221;0,885047;-0,832629;-0,767237;-0,579039;0,538026;0,931842;-1,317969;-44,857618;-14,590427;GB;GB;0;2017;Cer;trophycam;B140806204;C;C;1;carreiro;carreiro;other;MJ;MJ MSP;CER SS;Y;0,440797001
187;188;196;OCGB23;1,622544;-0,140646;-0,628587;-0,975686;-0,653697;-0,740178;3,118698;0,196397;0,260317;0,084275;0,079763;0,019801;0,015474;-0,024949;-44,8767;-14,615092;GB;GB;0;2017;Cer;trophycam;B120100128;B;A;0;N;N;other;MJ;MJ MSP;CER SS;Y;0,538379014
188;189;197;OCGB24;1,702309;-0,085545;0,185099;-0,493245;-0,103576;-0,610955;0,063042;-0,171954;0,289127;0,01056;-0,029683;0,167865;0,158394;-0,024949;-44,889567;-14,620903;GB;GB;0;2017;Cer;trophycam;B131270043;B;A;1;carreiro;carreiro;other;MJ;MJ MSP;CER DENSO;Y;0,197842002
189;190;198;OCGB25;1,346742;-0,922624;-0,267812;0,379254;-0,409782;-0,826095;-0,346063;-0,171954;-0,990283;-1,080923;-0,689417;-0,276328;-0,270365;-0,096783;-44,846079;-14,647082;GB;GB;0;2017;Cer;agressor;B150801818;D;D;0;N;N;other;MJ;MJ MSP;CER SS;Y;0,715956986
190;191;199;OCGB26;1,28519;-1,16924;-0,517002;1,027262;-0,578256;-0,483009;-0,436975;-0,171954;-0,071475;-0,11576;-0,472591;-0,276328;-0,270365;-1,461638;-44,84016;-14,65939;GB;GB;0;2017;Cer;trophycam;B120100832;B;A;1;trail;trail;other;MJ;MJ MSP;CER SS;Y;0,701785982
191;192;200;OCGB27;1,204756;-1,173791;0,620966;1,39461;0,191107;-0,369017;-0,436975;-0,171954;-0,782101;-0,599067;-0,495734;-0,276328;-0,270365;-0,168617;-44,827836;-14,654208;GB;GB;0;2017;Cer;trophycam;B121000478;B;A;1;carreiro;carreiro;other;MJ;MJ MSP;CER SS;N;0,647441983
192;193;201;OCGB28;1,266926;-0,919257;0,755121;0,830031;0,281807;-0,619927;0,076411;-0,171954;-0,856915;-0,811177;-0,770938;-0,276328;-0,270365;-0,168617;-44,833491;-14,641279;GB;GB;0;2017;Cer;trophycam;B100815356;A;A;1;carreiro;carreiro;other;MJ;MJ MSP;CER SS;Y;0,766330004
193;194;202;OCGB29;1,617355;0,086033;-1,040767;-1,22007;-0,932366;-0,96382;6,267792;6,842246;1,180965;0,191992;-0,203287;-0,276328;-0,270365;-0,096783;-44,870163;-14,596133;GB;GB;0;2017;Cer;agressor;B150801784;D;D;0;N;N;other;MJ;MJ MSP;VER;Y;0,101480998
